Date,Name,Year,Letterboxd URI
2014-01-23,Dallas Buyers Club,2013,https://boxd.it/4O8G
2014-01-25,Ip Man,2008,https://boxd.it/1NrQ
2014-01-27,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu
2014-01-27,A Clockwork Orange,1971,https://boxd.it/2aVE
2014-01-27,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2014-01-31,Her,2013,https://boxd.it/4O24
2014-02-09,Clue,1985,https://boxd.it/1MDQ
2014-02-25,The Wizard of Oz,1939,https://boxd.it/29Xu
2014-02-28,Lawrence of Arabia,1962,https://boxd.it/2wRE
2014-03-01,The Right Stuff,1983,https://boxd.it/1YoS
2014-03-07,The Wind Rises,2013,https://boxd.it/4JQS
2014-03-09,Singin' in the Rain,1952,https://boxd.it/29oY
2014-03-09,The Addams Family,1991,https://boxd.it/267g
2014-04-06,The Warriors,1979,https://boxd.it/1TLC
2014-04-12,Black Dynamite,2009,https://boxd.it/1wX6
2014-06-06,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2014-06-24,22 Jump Street,2014,https://boxd.it/5Fvy
2014-06-25,The Court Jester,1955,https://boxd.it/1SXW
2014-10-03,Speed Racer,2008,https://boxd.it/20UQ
2015-01-17,Mad Max 2,1981,https://boxd.it/1ZPg
2015-01-17,Force Majeure,2014,https://boxd.it/7UcA
2015-01-17,Why Don't You Play in Hell?,2013,https://boxd.it/4lnC
2015-01-28,The Godfather,1972,https://boxd.it/2aNK
2015-02-01,JFK,1991,https://boxd.it/29xm
2015-02-01,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2015-02-04,Beetlejuice,1988,https://boxd.it/24QI
2015-02-16,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg
2015-03-09,Being There,1979,https://boxd.it/1WxS
2015-05-13,Rabbit Hole,2010,https://boxd.it/1rsM
2015-12-14,The Uninvited,1944,https://boxd.it/1KeO
2016-03-20,The Innocents,1961,https://boxd.it/1KeY
2016-03-21,Sunset Boulevard,1950,https://boxd.it/2a20
2016-05-18,Days of Heaven,1978,https://boxd.it/1JRg
2016-06-13,All the President's Men,1976,https://boxd.it/29lU
2016-07-21,Safety Last!,1923,https://boxd.it/1AkW
2016-08-17,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2016-08-22,Do the Right Thing,1989,https://boxd.it/29gA
2016-09-11,"See No Evil, Hear No Evil",1989,https://boxd.it/1UqA
2016-09-14,Once Upon a Time in the West,1968,https://boxd.it/2az4
2016-09-14,The Thief of Bagdad,1940,https://boxd.it/1Sei
2016-09-22,A Touch of Zen,1970,https://boxd.it/SFm
2016-10-01,Aalavandhan,2001,https://boxd.it/8sm
2016-10-01,Bad Black,2016,https://boxd.it/d8gm
2016-10-01,Toni Erdmann,2016,https://boxd.it/d0xu
2016-10-08,The Age of Shadows,2016,https://boxd.it/cruq
2016-10-09,Basket Case,1982,https://boxd.it/1qV4
2016-11-13,Hoop Dreams,1994,https://boxd.it/1Opc
2016-12-01,A Star Is Born,1954,https://boxd.it/25I6
2017-01-12,Taxi Driver,1976,https://boxd.it/2b8y
2017-05-09,The Towering Inferno,1974,https://boxd.it/22ly
2017-08-24,Mean Girls,2004,https://boxd.it/1VNg
2018-02-15,The Shape of Water,2017,https://boxd.it/dZ5m
2018-03-26,Isle of Dogs,2018,https://boxd.it/dZrW
2018-06-05,Coco,2017,https://boxd.it/bYJQ
2019-01-20,The Sisters Brothers,2018,https://boxd.it/fDFm
2019-08-07,God's Own Country,2017,https://boxd.it/faZM
2022-06-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-02-17,Don't Worry Darling,2022,https://boxd.it/mViu
2023-03-07,Milk,2008,https://boxd.it/1WZC
2023-08-02,The Doom Generation,1995,https://boxd.it/1PVe
2023-08-16,Child's Play,1988,https://boxd.it/1VTo
2023-08-26,Getting Go: The Go Doc Project,2013,https://boxd.it/5gyW
2023-08-29,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a
2023-09-28,Bugged,1996,https://boxd.it/5lHO
2023-10-03,The Uncle,2022,https://boxd.it/BwHE
2023-10-08,The Slumber Party Massacre,1982,https://boxd.it/1rIq
2023-10-17,A Nightmare on Elm Street: The Dream Child,1989,https://boxd.it/1WWe
2023-11-01,Hellraiser,1987,https://boxd.it/1Zpi
2023-11-25,Baraka,1992,https://boxd.it/1OWA
2023-12-23,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ
2024-02-05,The Curse,2023,https://boxd.it/IWYq
2024-02-17,Belle de Jour,1967,https://boxd.it/29Uq
2024-02-17,Hook,1991,https://boxd.it/29nQ
2024-02-17,Aladdin,1992,https://boxd.it/29yE
2024-02-17,Peter Pan,1953,https://boxd.it/1VCC
2024-02-25,The Holdovers,2023,https://boxd.it/vHza
2024-10-06,The Shining,1980,https://boxd.it/29Nu
2024-10-23,The Substance,2024,https://boxd.it/zanS
2024-12-21,A Very Gordita Christmas,2022,https://boxd.it/S2ec
2024-12-21,A Very Gordita Christmas Too,2024,https://boxd.it/S2fa
2025-10-15,Scream,1996,https://boxd.it/24EC
2025-10-26,Addams Family Values,1993,https://boxd.it/26mq
2025-12-06,Christmas with the Kranks,2004,https://boxd.it/1PEW
2025-12-30,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
