Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-06,Jay Trotter's Amazing Underrated Obscure Bizarre Films,,https://boxd.it/n9Mym,

Position,Name,Year,URL,Description
1,Possession,1981,https://boxd.it/1BPm,
2,Miracle Mile,1988,https://boxd.it/1x68,
3,Bad Boy Bubby,1993,https://boxd.it/1OHq,
4,Wake in Fright,1971,https://boxd.it/1tWk,
5,Cockfighter,1974,https://boxd.it/1rhE,
6,The Holy Mountain,1973,https://boxd.it/20mu,
7,Let It Ride,1989,https://boxd.it/1FFq,
8,The Cat,1992,https://boxd.it/3TZe,
9,"Sick: The Life and Death of Bob Flanagan, Supermasochist",1997,https://boxd.it/1cck,
10,Brewster McCloud,1970,https://boxd.it/1tIi,
11,Visitor Q,2001,https://boxd.it/24DE,
12,Fitzcarraldo,1982,https://boxd.it/1YV8,
13,Samurai Cop,1991,https://boxd.it/3Na,
14,Five Element Ninjas,1982,https://boxd.it/ZvS,
15,Weekend,1967,https://boxd.it/20Ac,
16,The Rookie,1990,https://boxd.it/21ne,
17,Where’s Poppa?,1970,https://boxd.it/Wzs,
18,Inside,2007,https://boxd.it/1QqG,
19,Bad Day at Black Rock,1955,https://boxd.it/1NRk,
20,Miami Blues,1990,https://boxd.it/1N5g,
21,The World According to Garp,1982,https://boxd.it/1UaM,
22,Bug,2006,https://boxd.it/1RN2,
23,Shakedown,1988,https://boxd.it/15JG,
24,Kenny,2006,https://boxd.it/1QK2,
25,Next of Kin,1982,https://boxd.it/2ZQg,
26,Deadly Prey,1987,https://boxd.it/22CY,
27,Bubble,2005,https://boxd.it/1No8,
28,Freebie and the Bean,1974,https://boxd.it/1CT0,
29,Hands on a Hardbody: The Documentary,1997,https://boxd.it/1GDK,
30,Rubin & Ed,1991,https://boxd.it/Yw6,
31,The Corndog Man,1999,https://boxd.it/3hS,
32,The Dark Backward,1991,https://boxd.it/2hmG,
33,Fudoh: The New Generation,1996,https://boxd.it/1aUE,
34,Death and the Maiden,1994,https://boxd.it/1W26,
35,Lookin' to Get Out,1982,https://boxd.it/JFi,
36,Eye of the Tiger,1986,https://boxd.it/1sb8,
37,Hour of the Wolf,1968,https://boxd.it/1H9G,
38,The Baby,1973,https://boxd.it/1q7I,
39,Vampire's Kiss,1988,https://boxd.it/21aY,
40,Barking Dogs Never Bite,2000,https://boxd.it/1BLa,
41,Schizopolis,1996,https://boxd.it/1Keu,
42,Pin,1988,https://boxd.it/Y4Q,
43,Talhotblond,2009,https://boxd.it/148E,
44,End of the Line,1987,https://boxd.it/F1I,
45,Hearts of Darkness: A Filmmaker's Apocalypse,1991,https://boxd.it/24ai,
46,Eat the Rich,1987,https://boxd.it/24x2,
47,White of the Eye,1987,https://boxd.it/1fci,
48,California Split,1974,https://boxd.it/1hRs,
49,Street Smart,1987,https://boxd.it/fyQ,
50,The Great Silence,1968,https://boxd.it/1ZlA,
51,The Funeral,1996,https://boxd.it/1BC8,
52,Anguish,1987,https://boxd.it/XZ2,
53,Running Time,1997,https://boxd.it/2PDQ,
54,Thesis,1996,https://boxd.it/1Z1U,
55,Blue Collar,1978,https://boxd.it/1Nhm,
56,Eight Days a Week,1997,https://boxd.it/1MCo,
57,Opera,1987,https://boxd.it/1E2M,
58,"Suddenly, Last Summer",1959,https://boxd.it/1NyC,
59,The Bear,1988,https://boxd.it/26Ps,
60,J.D.'s Revenge,1976,https://boxd.it/RkM,
61,Jerry and Tom,1998,https://boxd.it/2EQu,
62,Dead & Buried,1981,https://boxd.it/1xYa,
63,Sleeping Dogs Lie,2006,https://boxd.it/TSG,
64,Mikey and Nicky,1976,https://boxd.it/iL4,
65,Revanche,2008,https://boxd.it/1MdS,
66,White Dog,1982,https://boxd.it/Jtc,
67,The 4th Man,1983,https://boxd.it/1o7c,
68,Rush,1991,https://boxd.it/1DM0,
69,The Razor's Edge,1984,https://boxd.it/1xDc,
70,Star 80,1983,https://boxd.it/1kKu,
71,Of Unknown Origin,1983,https://boxd.it/18KW,
72,Series 7,2001,https://boxd.it/1F0C,
73,The Birthday,2004,https://boxd.it/4bVY,
74,The Rapture,1991,https://boxd.it/28Om,
75,The Hidden,1987,https://boxd.it/1RUW,
76,Little Murders,1971,https://boxd.it/1rL0,
77,Hukkle,2002,https://boxd.it/1bO8,
78,The Vagrant,1992,https://boxd.it/5FfK,
79,Headless Body in Topless Bar,1995,https://boxd.it/3kXC,
80,Street Trash,1987,https://boxd.it/1AWw,
81,The Beast,1988,https://boxd.it/1Mx4,
82,Jack the Bear,1993,https://boxd.it/15i6,
83,Society,1989,https://boxd.it/1ARc,
84,Brain Donors,1992,https://boxd.it/1h8W,
85,Off Limits,1988,https://boxd.it/15BC,
