Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-18,Psychedelic Films Compilation,"trippy, psychedelic, compilation",https://boxd.it/t8NNa,

Position,Name,Year,URL,Description
1,Enter the Void,2009,https://boxd.it/1dy2,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
4,The Holy Mountain,1973,https://boxd.it/20mu,
5,Yellow Submarine,1968,https://boxd.it/1Sxa,
6,Waking Life,2001,https://boxd.it/1Zdc,
7,Altered States,1980,https://boxd.it/1TBi,
8,Fantastic Planet,1973,https://boxd.it/1KnQ,
9,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk,
10,Fantasia,1940,https://boxd.it/29HG,
11,A Scanner Darkly,2006,https://boxd.it/25jK,
12,Donnie Darko,2001,https://boxd.it/2b2A,
13,The Fountain,2006,https://boxd.it/28RU,
14,Easy Rider,1969,https://boxd.it/29Ys,
15,The Trip,1967,https://boxd.it/1Ace,
16,Requiem for a Dream,2000,https://boxd.it/29VI,
17,Mulholland Drive,2001,https://boxd.it/297o,
18,A Field in England,2013,https://boxd.it/5tmk,
19,Samsara,2011,https://boxd.it/3ada,
20,Inception,2010,https://boxd.it/1skk,
21,Koyaanisqatsi,1982,https://boxd.it/1U9E,
22,Eraserhead,1977,https://boxd.it/299u,
23,El Topo,1970,https://boxd.it/1QYS,
24,Spirited Away,2001,https://boxd.it/2b4m,
25,The Matrix,1999,https://boxd.it/2a1m,
26,The Cell,2000,https://boxd.it/1ZLS,
27,The Wizard of Oz,1939,https://boxd.it/29Xu,
28,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
29,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,
30,Daisies,1966,https://boxd.it/LZk,
31,Un Chien Andalou,1929,https://boxd.it/29Y8,
32,Being John Malkovich,1999,https://boxd.it/2ahu,
33,The Big Lebowski,1998,https://boxd.it/2b6C,
34,Pan's Labyrinth,2006,https://boxd.it/28No,
35,Naked Lunch,1991,https://boxd.it/26ow,
36,Head,1968,https://boxd.it/1HoQ,
37,Speed Racer,2008,https://boxd.it/20UQ,
38,Trainspotting,1996,https://boxd.it/29XY,
39,Akira,1988,https://boxd.it/2b1i,
40,Alice in Wonderland,1951,https://boxd.it/1Sz6,
41,Blade Runner,1982,https://boxd.it/2bcA,
42,Doctor Strange,2016,https://boxd.it/8MH8,
