Date,Name,Year,Letterboxd URI,Rating
2014-01-23,Dallas Buyers Club,2013,https://boxd.it/4O8G,5
2014-01-23,The Wolf of Wall Street,2013,https://boxd.it/3C1m,0.5
2014-01-25,Ip Man,2008,https://boxd.it/1NrQ,5
2014-01-25,Don Jon,2013,https://boxd.it/4sdk,1
2014-01-27,Repo Man,1984,https://boxd.it/1Plg,4
2014-01-27,The Congress,2013,https://boxd.it/4Ota,4
2014-01-27,The Monster Squad,1987,https://boxd.it/1Q1w,5
2014-02-11,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,0.5
2014-02-11,Computer Chess,2013,https://boxd.it/4Y1g,2
2014-02-11,Ernest Goes to Camp,1987,https://boxd.it/1G1c,3
2014-02-11,Con Air,1997,https://boxd.it/28gO,3
2014-02-11,Fire Birds,1990,https://boxd.it/21EY,2
2014-02-11,Leaving Las Vegas,1995,https://boxd.it/2amE,3
2014-02-17,Ronin,1998,https://boxd.it/20wa,3
2014-02-17,Rush,2013,https://boxd.it/3lyS,4
2014-02-17,Grey Gardens,1975,https://boxd.it/1INM,4
2014-02-17,"Synecdoche, New York",2008,https://boxd.it/23zw,4
2014-02-25,12 Years a Slave,2013,https://boxd.it/2D2e,4
2014-02-25,The Kings of Summer,2013,https://boxd.it/4V3e,2
2014-02-28,On the Waterfront,1954,https://boxd.it/29TC,4
2014-02-28,The Innkeepers,2011,https://boxd.it/kpu,1
2014-02-28,The Hudsucker Proxy,1994,https://boxd.it/1SJA,3.5
2014-02-28,Eight Men Out,1988,https://boxd.it/1PUU,3
2014-02-28,Castaway on the Moon,2009,https://boxd.it/1GXU,3
2014-02-28,Captain Phillips,2013,https://boxd.it/3GPK,3
2014-02-28,After Earth,2013,https://boxd.it/2TSg,0.5
2014-03-01,Frozen,2013,https://boxd.it/3GNa,3
2014-03-01,Beauty and the Beast,1991,https://boxd.it/1XhG,4
2014-03-09,Saving Mr. Banks,2013,https://boxd.it/4vIq,1.5
2014-03-23,To Kill a Mockingbird,1962,https://boxd.it/2a2E,5
2014-03-23,Veronica Mars,2014,https://boxd.it/5rcC,3
2014-03-24,The Dead Pool,1988,https://boxd.it/1VJ4,3
2014-03-24,Dirty Harry,1971,https://boxd.it/299E,4.5
2014-03-24,Sudden Impact,1983,https://boxd.it/1VJe,2
2014-03-24,The Enforcer,1976,https://boxd.it/1VJo,3
2014-03-24,Magnum Force,1973,https://boxd.it/1VJy,4
2014-04-05,Lawrence of Arabia,1962,https://boxd.it/2wRE,5
2014-04-06,The Warriors,1979,https://boxd.it/1TLC,4.5
2014-04-06,No,2012,https://boxd.it/3Ie2,4
2014-04-06,Muppets Most Wanted,2014,https://boxd.it/4Cti,3
2014-04-11,Lord of the Flies,1963,https://boxd.it/1Xqy,4.5
2014-04-11,The Century of the Self,2002,https://boxd.it/BnA,4
2014-04-12,Black Dynamite,2009,https://boxd.it/1wX6,4
2014-05-11,Fruitvale Station,2013,https://boxd.it/4VRy,3.5
2014-05-15,Cheap Thrills,2013,https://boxd.it/5nPK,1.5
2014-05-18,The Selfish Giant,2013,https://boxd.it/5QSe,4
2014-05-20,Journey to the West: Conquering the Demons,2013,https://boxd.it/5gxu,3
2014-05-26,The Lego Movie,2014,https://boxd.it/4pDO,3.5
2014-05-27,Easy Rider,1969,https://boxd.it/29Ys,4
2014-06-06,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2014-06-12,Enemy,2013,https://boxd.it/5xtO,3.5
2014-06-13,The Dance of Reality,2013,https://boxd.it/4qFw,3
2014-06-17,Thief,1981,https://boxd.it/1TEc,3
2014-06-24,22 Jump Street,2014,https://boxd.it/5Fvy,4.5
2014-06-24,21 Jump Street,2012,https://boxd.it/J0,3.5
2014-06-25,The Court Jester,1955,https://boxd.it/1SXW,4
2014-06-28,Capricorn One,1977,https://boxd.it/1SJq,3.5
2014-06-28,Mud,2012,https://boxd.it/3wPA,3
2014-07-20,The Conjuring,2013,https://boxd.it/4sr2,4
2014-07-21,Sorcerer,1977,https://boxd.it/14J6,3
2014-07-28,The Color of Money,1986,https://boxd.it/1SSM,4
2014-07-28,Cocktail,1988,https://boxd.it/20QE,3
2014-07-28,Days of Thunder,1990,https://boxd.it/27os,2.5
2014-07-28,Collateral,2004,https://boxd.it/28F0,3
2014-07-28,Far and Away,1992,https://boxd.it/1Ufi,4
2014-07-31,Cocoon,1985,https://boxd.it/1Wx4,3
2014-08-01,Ran,1985,https://boxd.it/1Tlu,4.5
2014-08-01,Hawking,2013,https://boxd.it/5pgM,2.5
